doctor_name,specialty,qualification,designation,hospital,location,experience,profile_url
Brig. Gen. Dr. Md. Delwar Hossain,Gastroenterology,"MBBS, FCPS",Professor & Head,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-dr-md-delwar-hossain-gastroenterology-dhaka
Brig. Gen. Dr. Md. Habibur Rahman,Psychiatry,"MBBS, FCPS",Doctor,"Armed Forces Medical College, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/brig-gen-dr-md-habibur-rahman-psychiatry-dhaka
Brig. Gen. Dr. Moinul Hoque Chowdhury,Anesthesiology,"MBBS, FCPS",Senior Consultant,Evercare Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-dr-moinul-hoque-chowdhury-anesthesiology-dhaka
Brig. Gen. Prof. Dr. A.K.M. Masud,Orthopedics,"MBBS, MS",Professor & Head,"Armed Forces Medical College, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-akm-masud-orthopedics-dhaka
Brig. Gen. Prof. Dr. AFM Shamsul Haque,Cardiology,"MBBS, FCPS, MCPS, FESC, FACC, FRCP",Professor,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-afm-shamsul-haque-cardiology-dhaka
Brig. Gen. Prof. Dr. Anjuman Ara Beauty,Pediatrics,"MBBS, DCH, FCPS",Chief Pediatric Neurologist,Proyash Institute of Special Education & Research,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-anjuman-ara-beauty-pediatrics-dhaka
Brig. Gen. Prof. Dr. Faruk Ahmed,Hematology,"MBBS, MCPS, FCPS",Senior Consultant,"Square Hospital, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-faruk-ahmed-hematology-dhaka
Brig. Gen. Prof. Dr. Md. Azizul Islam,Psychiatry,"MBBS, FCPS, FRCP, FACP",Professor & Head,"Armed Forces Medical College, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-md-azizul-islam-psychiatry-dhaka
Brig. Gen. Prof. Dr. Md. Azizur Rahman,Respiratory Medicine,"MBBS, MCPS, FCPS, FCCP",Professor & Head,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-md-azizur-rahman-respiratory-medicine-dhaka
Brig. Gen. Prof. Dr. Md. Enamul Kabir,Plastic Surgery,"MBBS, FCPS, FACS, FICS",Professor,Marks Medical College & Hospital,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-md-enamul-kabir-plastic-surgery-dhaka
Brig. Gen. Prof. Dr. Md. Nuruzzaman,Neurosurgery,"MBBS, MS",Senior Consultant,"Ibn Sina Specialized Hospital, Dhanmondi",Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-md-nuruzzaman-neurosurgery-dhaka
Brig. Gen. Prof. Dr. Md. Saidur Rahman,General Surgery,"MBBS, FCPS",Former Professor,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-md-saidur-rahman-general-surgery-dhaka
Brig. Gen. Prof. Dr. Md. Sayedur Rahman,Gastroenterology,"MBBS, FCPS, OJT, FACP, FRCP",Professor,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-md-sayedur-rahman-gastroenterology-dhaka
Brig. Gen. Prof. Dr. Md. Yousuf Ali,Oncology,"MBBS, FCPS, MACR, FRCH",Professor & Head,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-md-yousuf-ali-oncology-dhaka
Brig. Gen. Prof. Dr. MHM Delwar Hossain,Anesthesiology,"MBBS, DA, MCPS, FCPS",Former Professor,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-mhm-delwar-hossain-anesthesiology-dhaka
Brig. Gen. Prof. Dr. Nasir Uddin Ahmed,Medicine,"MBBS, FCPS",Advisor Specialist & Head of the Department of Endocrinology,Combined Military Hospital Dhaka,Dhaka,29+ Years,https://doctor.bd/doctor/brig-gen-prof-dr-nasir-uddin-ahmed-medicine-dhaka
Brig. Gen. Prof. Dr. Nurul Amin (Retd),Dermatology,"MBBS, MD, FCPS, FRCP, FAAD, DDV, DD",Professor & Head,"Armed Forces Medical College, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-nurul-amin-retd-dermatology-dhaka
Brig. Gen. Prof. Dr. Nurunnahar Fatema Begum,Pediatrics,"MBBS, FCPS, FRCP, FACC, FSCAI",Professor & Head,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-nurunnahar-fatema-begum-pediatrics-dhaka
Brig. Gen. Prof. Dr. R U Chowdhury,Neurosurgery,"MBBS, FCPS, MS, MRCS",Consultant,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-r-u-chowdhury-neurosurgery-dhaka
Brig. Gen. Prof. Dr. Ranjit Kumar Mistry,ENT,"MBBS, DLO, FCPS, MCPS",Professor,"Armed Forces Medical College, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/brig-gen-prof-dr-ranjit-kumar-mistry-ent-dhaka
Brigadier General (Dr.) Masroor Hasan,Plastic Surgery,"MBBS, MS, MRCS, FCPS",Advisor Specialist & HOD,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brigadier-general-dr-masroor-hasan-plastic-surgery-dhaka
Brigadier General Prof. Dr. Md. Shirajul Islam Khan,Dermatology,"MBBS, FCPS, MCPS, DDV, FRCP, MACP",Professor & Head,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/brigadier-general-prof-dr-md-shirajul-islam-khan-dermatology-dhaka
Capt. Dr. A. Z. Nazrul Islam,Pediatrics,"MBBS, MCPS",Consultant,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/capt-dr-a-z-nazrul-islam-pediatrics-dhaka
Capt. Dr. Md. Serajul Islam,Pediatrics,"MBBS, MD, MCPS",Consultant,Bangladesh Medical University,Dhaka,N/A,https://doctor.bd/doctor/capt-dr-md-serajul-islam-pediatrics-dhaka
Col. (Prof.) Dr. Nazmul Hamid,Pediatrics,"MBBS, DCH, FCPS",Colonel,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/col-prof-dr-nazmul-hamid-pediatrics-dhaka
Col. Dr. Nazma Siddique,Gynaecology & Obstetrics,"MBBS, DGO, FCPS",Professor & Head,Combined Military Hospital Chattogram,Chattogram,N/A,https://doctor.bd/doctor/col-dr-nazma-siddique-gynaecology-obstetrics-chattogram
Col. Prof. Dr. Md. Nurul Azim,Psychiatry,"MBBS, FCPS, MD, PhD, PsyD, FRCP, FACP",Former Professor,Bangladesh Medical University,Dhaka,N/A,https://doctor.bd/doctor/col-prof-dr-md-nurul-azim-psychiatry-dhaka
Colonel Dr. Md. Mosleh Uddin,Hematology,"MBBS, MCPS, FCPS",Consultant,Combined Military Hospital Dhaka,Dhaka,N/A,https://doctor.bd/doctor/colonel-dr-md-mosleh-uddin-hematology-dhaka
Dietician Sanzida Sharmeen,Nutrition & Dietetics,"BSc, MSc",Ex. Senior Clinical Dietician,"United Hospital, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/dietician-sanzida-sharmeen-nutrition-dietetics-dhaka
Dietitian Sabeka Rahman,Nutrition & Dietetics,"BSc, MSc",Nutritionist,"Lubana General Hospital, Uttara",Dhaka,N/A,https://doctor.bd/doctor/dietitian-sabeka-rahman-nutrition-dietetics-dhaka
Dietitian Sanjib Ahmad Talukder Tonoy,Nutrition & Dietetics,"BSc, MSc, CND",Consultant,Ashiyan and City Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/dietitian-sanjib-ahmad-talukder-tonoy-nutrition-dietetics-dhaka
Dietitian Sanjib Ahmad Talukder Tonoy,Nutrition & Dietetics,"BSc, MSc, CND",Consultant,Ashiyan and City Medical College Hospital,Chattogram,N/A,https://doctor.bd/doctor/dietitian-sanjib-ahmad-talukder-tonoy-nutrition-dietetics-chattogram
Dietitian Sayeda Shirina Smrity,Nutrition & Dietetics,"BSc, MPH, MSc",Dietitian,"BRB Hospital, Dhaka",Dhaka,N/A,https://doctor.bd/doctor/dietitian-sayeda-shirina-smrity-nutrition-dietetics-dhaka
